Country,Year,Month,Service Area,"Number Of Wireline Telephones  (UOM:Number), Scaling Factor:1000000","Number Of Wireless Telephones (UOM:Number), Scaling Factor:1000000","Percentage Share In Total Telephones (UOM:Percentage), Scaling Factor:1"
India,"Calendar Year (Jan - Dec), 2023","July, 2023",Uttar Pradesh (East),0.82,100.24,8.59
India,"Calendar Year (Jan - Dec), 2023","July, 2023",Uttar Pradesh (West),0.84,62.48,5.38
India,"Calendar Year (Jan - Dec), 2023","July, 2023",West Bengal,0.45,56.68,4.86
India,"Calendar Year (Jan - Dec), 2023","July, 2023",Kolkata,0.94,23.9,2.11
India,"Calendar Year (Jan - Dec), 2023","July, 2023",Delhi,4.01,54.53,4.98
India,"Calendar Year (Jan - Dec), 2023","July, 2023",Mumbai,3.44,33.84,3.17
India,"Calendar Year (Jan - Dec), 2023","June, 2023",Andhra Pradesh,2.59,82.34,7.24
India,"Calendar Year (Jan - Dec), 2023","June, 2023",Assam,0.3,25.2,2.17
India,"Calendar Year (Jan - Dec), 2023","June, 2023",Bihar,0.74,92.46,7.95
India,"Calendar Year (Jan - Dec), 2023","June, 2023",Gujarat,1.35,66.16,5.76
India,"Calendar Year (Jan - Dec), 2023","June, 2023",Haryana,0.49,26.48,2.3
India,"Calendar Year (Jan - Dec), 2023","June, 2023",Himachal Pradesh,0.15,8.79,0.76
India,"Calendar Year (Jan - Dec), 2023","June, 2023",Jammu & Kashmir,0.37,12.22,1.07
India,"Calendar Year (Jan - Dec), 2023","June, 2023",Karnataka,3.08,65.85,5.88
India,"Calendar Year (Jan - Dec), 2023","June, 2023",Kerala,1.39,42.29,3.72
India,"Calendar Year (Jan - Dec), 2023","June, 2023",Madhya Pradesh,1.44,77.13,6.7
India,"Calendar Year (Jan - Dec), 2023","June, 2023",Maharashtra,1.5,92.0,7.97
India,"Calendar Year (Jan - Dec), 2023","June, 2023",North East,0.22,12.29,1.07
India,"Calendar Year (Jan - Dec), 2023","June, 2023",Odisha,0.42,33.41,2.88
India,"Calendar Year (Jan - Dec), 2023","June, 2023",Punjab,1.3,35.25,3.12
India,"Calendar Year (Jan - Dec), 2023","June, 2023",Rajasthan,0.89,63.76,5.51
India,"Calendar Year (Jan - Dec), 2023","June, 2023",Tamil Nadu,2.74,76.75,6.78
India,"Calendar Year (Jan - Dec), 2023","June, 2023",Uttar Pradesh (East),0.8,100.17,8.61
India,"Calendar Year (Jan - Dec), 2023","June, 2023",Uttar Pradesh (West),0.83,62.35,5.39
India,"Calendar Year (Jan - Dec), 2023","June, 2023",West Bengal,0.45,56.5,4.85
India,"Calendar Year (Jan - Dec), 2023","June, 2023",Kolkata,0.93,23.94,2.12
India,"Calendar Year (Jan - Dec), 2023","June, 2023",Delhi,3.98,54.41,4.98
India,"Calendar Year (Jan - Dec), 2023","June, 2023",Mumbai,3.44,33.79,3.17
India,"Calendar Year (Jan - Dec), 2023","May, 2023",Andhra Pradesh,2.57,82.6,7.27
India,"Calendar Year (Jan - Dec), 2023","May, 2023",Assam,0.3,25.2,2.17
India,"Calendar Year (Jan - Dec), 2023","May, 2023",Bihar,0.73,92.03,7.91
India,"Calendar Year (Jan - Dec), 2023","May, 2023",Gujarat,1.33,66.24,5.76
India,"Calendar Year (Jan - Dec), 2023","May, 2023",Haryana,0.49,26.47,2.3
India,"Calendar Year (Jan - Dec), 2023","May, 2023",Himachal Pradesh,0.15,8.78,0.76
India,"Calendar Year (Jan - Dec), 2023","May, 2023",Jammu & Kashmir,0.36,12.13,1.07
India,"Calendar Year (Jan - Dec), 2023","May, 2023",Karnataka,3.03,65.57,5.85
India,"Calendar Year (Jan - Dec), 2023","May, 2023",Kerala,1.39,42.2,3.72
India,"Calendar Year (Jan - Dec), 2023","May, 2023",Madhya Pradesh,1.42,76.94,6.68
India,"Calendar Year (Jan - Dec), 2023","May, 2023",Maharashtra,1.5,91.46,7.93
India,"Calendar Year (Jan - Dec), 2023","May, 2023",North East,0.22,12.35,1.07
India,"Calendar Year (Jan - Dec), 2023","May, 2023",Odisha,0.41,33.33,2.88
India,"Calendar Year (Jan - Dec), 2023","May, 2023",Punjab,1.27,35.34,3.12
India,"Calendar Year (Jan - Dec), 2023","May, 2023",Rajasthan,0.88,63.92,5.53
India,"Calendar Year (Jan - Dec), 2023","May, 2023",Tamil Nadu,2.71,77.91,6.88
India,"Calendar Year (Jan - Dec), 2023","May, 2023",Uttar Pradesh (East),0.79,99.53,8.56
India,"Calendar Year (Jan - Dec), 2023","May, 2023",Uttar Pradesh (West),0.81,62.37,5.39
India,"Calendar Year (Jan - Dec), 2023","May, 2023",West Bengal,0.44,56.42,4.85
India,"Calendar Year (Jan - Dec), 2023","May, 2023",Kolkata,0.92,23.95,2.12
India,"Calendar Year (Jan - Dec), 2023","May, 2023",Delhi,3.96,54.42,4.98
India,"Calendar Year (Jan - Dec), 2023","May, 2023",Mumbai,3.43,33.97,3.19
India,"Calendar Year (Jan - Dec), 2023","April, 2023",Andhra Pradesh,2.58,82.47,7.25
India,"Calendar Year (Jan - Dec), 2023","April, 2023",Assam,0.29,25.14,2.17
India,"Calendar Year (Jan - Dec), 2023","April, 2023",Bihar,0.73,91.75,7.89
India,"Calendar Year (Jan - Dec), 2023","April, 2023",Gujarat,1.31,66.32,5.77
India,"Calendar Year (Jan - Dec), 2023","April, 2023",Haryana,0.48,26.56,2.31
India,"Calendar Year (Jan - Dec), 2023","April, 2023",Himachal Pradesh,0.15,8.77,0.76
India,"Calendar Year (Jan - Dec), 2023","April, 2023",Jammu & Kashmir,0.36,12.05,1.06
India,"Calendar Year (Jan - Dec), 2023","April, 2023",Karnataka,3.31,65.5,5.87
India,"Calendar Year (Jan - Dec), 2023","April, 2023",Kerala,1.39,42.25,3.72
India,"Calendar Year (Jan - Dec), 2023","April, 2023",Madhya Pradesh,1.39,76.86,6.67
India,"Calendar Year (Jan - Dec), 2023","April, 2023",Maharashtra,1.49,91.43,7.93
India,"Calendar Year (Jan - Dec), 2023","April, 2023",North East,0.22,12.34,1.07
India,"Calendar Year (Jan - Dec), 2023","April, 2023",Odisha,0.41,33.22,2.87
India,"Calendar Year (Jan - Dec), 2023","April, 2023",Punjab,1.25,35.45,3.13
India,"Calendar Year (Jan - Dec), 2023","April, 2023",Rajasthan,0.87,63.72,5.51
India,"Calendar Year (Jan - Dec), 2023","April, 2023",Tamil Nadu,2.67,78.63,6.93
India,"Calendar Year (Jan - Dec), 2023","April, 2023",Uttar Pradesh (East),0.78,99.63,8.56
India,"Calendar Year (Jan - Dec), 2023","April, 2023",Uttar Pradesh (West),0.79,62.28,5.38
India,"Calendar Year (Jan - Dec), 2023","April, 2023",West Bengal,0.43,56.55,4.86
India,"Calendar Year (Jan - Dec), 2023","April, 2023",Kolkata,0.91,24.05,2.13
India,"Calendar Year (Jan - Dec), 2023","April, 2023",Delhi,4.13,54.4,4.99
India,"Calendar Year (Jan - Dec), 2023","April, 2023",Mumbai,3.41,33.84,3.18
India,"Calendar Year (Jan - Dec), 2023","March, 2023",Andhra Pradesh,2.46,82.45,7.24
India,"Calendar Year (Jan - Dec), 2023","March, 2023",Assam,0.28,24.99,2.16
India,"Calendar Year (Jan - Dec), 2023","March, 2023",Bihar,0.7,91.22,7.84
India,"Calendar Year (Jan - Dec), 2023","March, 2023",Gujarat,1.21,66.23,5.75
India,"Calendar Year (Jan - Dec), 2023","March, 2023",Haryana,0.46,26.64,2.31
India,"Calendar Year (Jan - Dec), 2023","March, 2023",Himachal Pradesh,0.14,8.8,0.76
India,"Calendar Year (Jan - Dec), 2023","March, 2023",Jammu & Kashmir,0.35,12.02,1.06
India,"Calendar Year (Jan - Dec), 2023","March, 2023",Karnataka,3.11,65.91,5.89
India,"Calendar Year (Jan - Dec), 2023","March, 2023",Kerala,1.38,42.41,3.74
India,"Calendar Year (Jan - Dec), 2023","March, 2023",Madhya Pradesh,1.32,76.67,6.65
India,"Calendar Year (Jan - Dec), 2023","March, 2023",Maharashtra,1.46,91.57,7.94
India,"Calendar Year (Jan - Dec), 2023","March, 2023",North East,0.21,12.35,1.07
India,"Calendar Year (Jan - Dec), 2023","March, 2023",Odisha,0.4,33.16,2.86
India,"Calendar Year (Jan - Dec), 2023","March, 2023",Punjab,1.21,35.66,3.15
India,"Calendar Year (Jan - Dec), 2023","March, 2023",Rajasthan,0.84,63.59,5.5
