Country,Year,Month,Service Area,"Number Of Wireline Telephones  (UOM:Number), Scaling Factor:1000000","Number Of Wireless Telephones (UOM:Number), Scaling Factor:1000000","Percentage Share In Total Telephones (UOM:Percentage), Scaling Factor:1"
India,"Calendar Year (Jan - Dec), 2021","September, 2021",Andhra Pradesh,1.762226,86.396038,7.41
India,"Calendar Year (Jan - Dec), 2021","September, 2021",Assam,0.17987,24.353494,2.06
India,"Calendar Year (Jan - Dec), 2021","September, 2021",Bihar,0.368377,86.938036,7.34
India,"Calendar Year (Jan - Dec), 2021","September, 2021",Gujarat,1.025514,68.687658,5.86
India,"Calendar Year (Jan - Dec), 2021","September, 2021",Haryana,0.310044,28.007873,2.38
India,"Calendar Year (Jan - Dec), 2021","September, 2021",Himachal Pradesh,0.113611,10.392791,0.88
India,"Calendar Year (Jan - Dec), 2021","September, 2021",Jammu & Kashmir,0.248909,11.692219,1.0
India,"Calendar Year (Jan - Dec), 2021","September, 2021",Karnataka,2.42893,66.831287,5.82
India,"Calendar Year (Jan - Dec), 2021","September, 2021",Kerala,1.30484,44.108135,3.82
India,"Calendar Year (Jan - Dec), 2021","September, 2021",Madhya Pradesh,0.900951,78.859255,6.71
India,"Calendar Year (Jan - Dec), 2021","September, 2021",Maharashtra,1.364061,93.821237,8.0
India,"Calendar Year (Jan - Dec), 2021","September, 2021",North East,0.143575,12.029217,1.02
India,"Calendar Year (Jan - Dec), 2021","September, 2021",Odisha,0.293825,33.751166,2.86
India,"Calendar Year (Jan - Dec), 2021","September, 2021",Punjab,0.779654,37.977543,3.26
India,"Calendar Year (Jan - Dec), 2021","September, 2021",Rajasthan,0.622613,64.692292,5.49
India,"Calendar Year (Jan - Dec), 2021","September, 2021",Tamil Nadu,2.241041,81.505687,7.04
India,"Calendar Year (Jan - Dec), 2021","September, 2021",Uttar Pradesh (East),0.533642,101.867942,8.61
India,"Calendar Year (Jan - Dec), 2021","September, 2021",Uttar Pradesh (West),0.50858,64.457308,5.46
India,"Calendar Year (Jan - Dec), 2021","September, 2021",West Bengal,0.335664,57.294181,4.85
India,"Calendar Year (Jan - Dec), 2021","September, 2021",Kolkata,0.882261,24.694945,2.15
India,"Calendar Year (Jan - Dec), 2021","September, 2021",Delhi,3.708973,52.403354,4.72
India,"Calendar Year (Jan - Dec), 2021","September, 2021",Mumbai,3.074361,35.205875,3.22
India,"Calendar Year (Jan - Dec), 2021","August, 2021",Andhra Pradesh,1.737566,87.635003,7.39
India,"Calendar Year (Jan - Dec), 2021","August, 2021",Assam,0.175935,25.238921,2.1
India,"Calendar Year (Jan - Dec), 2021","August, 2021",Bihar,0.357077,87.206868,7.24
India,"Calendar Year (Jan - Dec), 2021","August, 2021",Gujarat,1.019206,70.052994,5.88
India,"Calendar Year (Jan - Dec), 2021","August, 2021",Haryana,0.303733,28.284518,2.36
India,"Calendar Year (Jan - Dec), 2021","August, 2021",Himachal Pradesh,0.111662,10.958561,0.92
India,"Calendar Year (Jan - Dec), 2021","August, 2021",Jammu & Kashmir,0.232193,11.94554,1.01
India,"Calendar Year (Jan - Dec), 2021","August, 2021",Karnataka,2.417592,67.859218,5.81
India,"Calendar Year (Jan - Dec), 2021","August, 2021",Kerala,1.3266,45.489569,3.87
India,"Calendar Year (Jan - Dec), 2021","August, 2021",Madhya Pradesh,0.876484,79.240398,6.62
India,"Calendar Year (Jan - Dec), 2021","August, 2021",Maharashtra,1.359714,94.842265,7.95
India,"Calendar Year (Jan - Dec), 2021","August, 2021",North East,0.138727,12.491212,1.04
India,"Calendar Year (Jan - Dec), 2021","August, 2021",Odisha,0.287161,34.894209,2.91
India,"Calendar Year (Jan - Dec), 2021","August, 2021",Punjab,0.769621,39.304113,3.31
India,"Calendar Year (Jan - Dec), 2021","August, 2021",Rajasthan,0.588081,65.473308,5.46
India,"Calendar Year (Jan - Dec), 2021","August, 2021",Tamil Nadu,2.230556,82.909589,7.04
India,"Calendar Year (Jan - Dec), 2021","August, 2021",Uttar Pradesh (East),0.510538,102.492449,8.52
India,"Calendar Year (Jan - Dec), 2021","August, 2021",Uttar Pradesh (West),0.487442,64.844769,5.4
India,"Calendar Year (Jan - Dec), 2021","August, 2021",West Bengal,0.323919,57.632882,4.79
India,"Calendar Year (Jan - Dec), 2021","August, 2021",Kolkata,0.872134,26.123398,2.23
India,"Calendar Year (Jan - Dec), 2021","August, 2021",Delhi,3.661752,54.128991,4.78
India,"Calendar Year (Jan - Dec), 2021","August, 2021",Mumbai,3.071533,37.622467,3.36
India,"Calendar Year (Jan - Dec), 2021","July, 2021",Andhra Pradesh,1.702141,87.646605,7.39
India,"Calendar Year (Jan - Dec), 2021","July, 2021",Assam,0.170598,25.248864,2.1
India,"Calendar Year (Jan - Dec), 2021","July, 2021",Bihar,0.339801,87.344315,7.25
India,"Calendar Year (Jan - Dec), 2021","July, 2021",Gujarat,1.00465,70.375966,5.9
India,"Calendar Year (Jan - Dec), 2021","July, 2021",Haryana,0.299692,28.2309,2.36
India,"Calendar Year (Jan - Dec), 2021","July, 2021",Himachal Pradesh,0.109867,10.909262,0.91
India,"Calendar Year (Jan - Dec), 2021","July, 2021",Jammu & Kashmir,0.229111,11.923864,1.0
India,"Calendar Year (Jan - Dec), 2021","July, 2021",Karnataka,2.390271,67.708517,5.8
India,"Calendar Year (Jan - Dec), 2021","July, 2021",Kerala,1.369701,45.425048,3.87
India,"Calendar Year (Jan - Dec), 2021","July, 2021",Madhya Pradesh,0.855449,79.106517,6.61
India,"Calendar Year (Jan - Dec), 2021","July, 2021",Maharashtra,1.3592,95.195562,7.98
India,"Calendar Year (Jan - Dec), 2021","July, 2021",North East,0.134032,12.483092,1.04
India,"Calendar Year (Jan - Dec), 2021","July, 2021",Odisha,0.280728,35.046256,2.92
India,"Calendar Year (Jan - Dec), 2021","July, 2021",Punjab,0.765245,39.109349,3.3
India,"Calendar Year (Jan - Dec), 2021","July, 2021",Rajasthan,0.576,65.590487,5.47
India,"Calendar Year (Jan - Dec), 2021","July, 2021",Tamil Nadu,2.19561,82.500662,7.0
India,"Calendar Year (Jan - Dec), 2021","July, 2021",Uttar Pradesh (East),0.493281,102.733439,8.54
India,"Calendar Year (Jan - Dec), 2021","July, 2021",Uttar Pradesh (West),0.473833,64.629198,5.38
India,"Calendar Year (Jan - Dec), 2021","July, 2021",West Bengal,0.315737,57.615101,4.79
India,"Calendar Year (Jan - Dec), 2021","July, 2021",Kolkata,0.852637,26.171304,2.23
India,"Calendar Year (Jan - Dec), 2021","July, 2021",Delhi,3.62882,54.325089,4.79
India,"Calendar Year (Jan - Dec), 2021","July, 2021",Mumbai,3.059679,37.46589,3.35
India,"Calendar Year (Jan - Dec), 2021","June, 2021",Andhra Pradesh,1.621069,87.679625,7.43
India,"Calendar Year (Jan - Dec), 2021","June, 2021",Assam,0.163974,25.061103,2.1
India,"Calendar Year (Jan - Dec), 2021","June, 2021",Bihar,0.320502,86.674082,7.23
India,"Calendar Year (Jan - Dec), 2021","June, 2021",Gujarat,0.95537,70.002527,5.9
India,"Calendar Year (Jan - Dec), 2021","June, 2021",Haryana,0.275639,28.040962,2.35
India,"Calendar Year (Jan - Dec), 2021","June, 2021",Himachal Pradesh,0.105221,10.855335,0.91
India,"Calendar Year (Jan - Dec), 2021","June, 2021",Jammu & Kashmir,0.223323,11.912082,1.01
India,"Calendar Year (Jan - Dec), 2021","June, 2021",Karnataka,2.291444,67.817069,5.83
India,"Calendar Year (Jan - Dec), 2021","June, 2021",Kerala,1.347736,45.091419,3.86
India,"Calendar Year (Jan - Dec), 2021","June, 2021",Madhya Pradesh,0.80389,78.481671,6.59
India,"Calendar Year (Jan - Dec), 2021","June, 2021",Maharashtra,1.298244,94.627698,7.98
India,"Calendar Year (Jan - Dec), 2021","June, 2021",North East,0.130275,12.492082,1.05
India,"Calendar Year (Jan - Dec), 2021","June, 2021",Odisha,0.26973,34.76695,2.91
India,"Calendar Year (Jan - Dec), 2021","June, 2021",Punjab,0.746902,38.898031,3.3
India,"Calendar Year (Jan - Dec), 2021","June, 2021",Rajasthan,0.544262,65.552491,5.5
India,"Calendar Year (Jan - Dec), 2021","June, 2021",Tamil Nadu,2.111048,82.542801,7.04
India,"Calendar Year (Jan - Dec), 2021","June, 2021",Uttar Pradesh (East),0.466052,101.416408,8.47
India,"Calendar Year (Jan - Dec), 2021","June, 2021",Uttar Pradesh (West),0.424104,63.793817,5.34
India,"Calendar Year (Jan - Dec), 2021","June, 2021",West Bengal,0.306578,57.13576,4.78
India,"Calendar Year (Jan - Dec), 2021","June, 2021",Kolkata,0.691439,26.266039,2.24
India,"Calendar Year (Jan - Dec), 2021","June, 2021",Delhi,3.59004,54.434596,4.83
India,"Calendar Year (Jan - Dec), 2021","June, 2021",Mumbai,3.049115,37.237752,3.35
India,"Calendar Year (Jan - Dec), 2021","May, 2021",Andhra Pradesh,1.593644,87.477133,7.43
India,"Calendar Year (Jan - Dec), 2021","May, 2021",Assam,0.159024,25.024745,2.1
India,"Calendar Year (Jan - Dec), 2021","May, 2021",Bihar,0.302782,86.251405,7.22
India,"Calendar Year (Jan - Dec), 2021","May, 2021",Gujarat,0.961336,69.650943,5.89
India,"Calendar Year (Jan - Dec), 2021","May, 2021",Haryana,0.27233,27.968156,2.36
India,"Calendar Year (Jan - Dec), 2021","May, 2021",Himachal Pradesh,0.104124,11.078322,0.93
India,"Calendar Year (Jan - Dec), 2021","May, 2021",Jammu & Kashmir,0.222331,11.822402,1.01
India,"Calendar Year (Jan - Dec), 2021","May, 2021",Karnataka,2.27639,67.607581,5.83
India,"Calendar Year (Jan - Dec), 2021","May, 2021",Kerala,1.376177,45.032224,3.87
India,"Calendar Year (Jan - Dec), 2021","May, 2021",Madhya Pradesh,0.787581,78.011516,6.58
India,"Calendar Year (Jan - Dec), 2021","May, 2021",Maharashtra,1.360594,94.318674,7.98
India,"Calendar Year (Jan - Dec), 2021","May, 2021",North East,0.129104,12.473053,1.05
India,"Calendar Year (Jan - Dec), 2021","May, 2021",Odisha,0.264784,34.466861,2.9
India,"Calendar Year (Jan - Dec), 2021","May, 2021",Punjab,0.749242,38.709511,3.29
India,"Calendar Year (Jan - Dec), 2021","May, 2021",Rajasthan,0.545998,65.483387,5.51
India,"Calendar Year (Jan - Dec), 2021","May, 2021",Tamil Nadu,2.088518,82.244084,7.04
India,"Calendar Year (Jan - Dec), 2021","May, 2021",Uttar Pradesh (East),0.459014,101.294336,8.49
India,"Calendar Year (Jan - Dec), 2021","May, 2021",Uttar Pradesh (West),0.413305,63.892013,5.37
India,"Calendar Year (Jan - Dec), 2021","May, 2021",West Bengal,0.298005,56.756167,4.76
India,"Calendar Year (Jan - Dec), 2021","May, 2021",Kolkata,0.686118,26.22813,2.25
India,"Calendar Year (Jan - Dec), 2021","May, 2021",Delhi,3.56619,54.066097,4.81
India,"Calendar Year (Jan - Dec), 2021","May, 2021",Mumbai,3.047694,36.908522,3.33
India,"Calendar Year (Jan - Dec), 2021","April, 2021",Andhra Pradesh,1.442505,88.61585,7.48
India,"Calendar Year (Jan - Dec), 2021","April, 2021",Assam,0.135998,24.97818,2.09
India,"Calendar Year (Jan - Dec), 2021","April, 2021",Bihar,0.250307,86.506682,7.21
India,"Calendar Year (Jan - Dec), 2021","April, 2021",Gujarat,0.938231,69.750237,5.87
India,"Calendar Year (Jan - Dec), 2021","April, 2021",Haryana,0.230158,28.027133,2.35
India,"Calendar Year (Jan - Dec), 2021","April, 2021",Himachal Pradesh,0.088764,11.157648,0.93
India,"Calendar Year (Jan - Dec), 2021","April, 2021",Jammu & Kashmir,0.186731,11.949331,1.01
India,"Calendar Year (Jan - Dec), 2021","April, 2021",Karnataka,2.151926,68.418597,5.86
India,"Calendar Year (Jan - Dec), 2021","April, 2021",Kerala,1.192842,45.260385,3.86
India,"Calendar Year (Jan - Dec), 2021","April, 2021",Madhya Pradesh,0.722421,78.207156,6.56
India,"Calendar Year (Jan - Dec), 2021","April, 2021",Maharashtra,1.272706,94.744094,7.98
India,"Calendar Year (Jan - Dec), 2021","April, 2021",North East,0.105159,12.531508,1.05
India,"Calendar Year (Jan - Dec), 2021","April, 2021",Odisha,0.214003,34.495367,2.88
India,"Calendar Year (Jan - Dec), 2021","April, 2021",Punjab,0.706076,38.983511,3.3
India,"Calendar Year (Jan - Dec), 2021","April, 2021",Rajasthan,0.479254,66.098172,5.53
India,"Calendar Year (Jan - Dec), 2021","April, 2021",Tamil Nadu,1.900935,82.947401,7.05
India,"Calendar Year (Jan - Dec), 2021","April, 2021",Uttar Pradesh (East),0.419867,101.351817,8.46
India,"Calendar Year (Jan - Dec), 2021","April, 2021",Uttar Pradesh (West),0.356485,63.962886,5.35
India,"Calendar Year (Jan - Dec), 2021","April, 2021",West Bengal,0.265064,56.722322,4.74
India,"Calendar Year (Jan - Dec), 2021","April, 2021",Kolkata,0.676908,26.598955,2.27
India,"Calendar Year (Jan - Dec), 2021","April, 2021",Delhi,3.577208,54.546479,4.83
India,"Calendar Year (Jan - Dec), 2021","April, 2021",Mumbai,3.047684,37.138287,3.34
India,"Calendar Year (Jan - Dec), 2021","March, 2021",Andhra Pradesh,1.409981,88.733046,7.51
India,"Calendar Year (Jan - Dec), 2021","March, 2021",Assam,0.132928,24.718731,2.07
India,"Calendar Year (Jan - Dec), 2021","March, 2021",Bihar,0.239533,86.415807,7.22
India,"Calendar Year (Jan - Dec), 2021","March, 2021",Gujarat,0.950895,69.409538,5.86
India,"Calendar Year (Jan - Dec), 2021","March, 2021",Haryana,0.230142,27.878588,2.34
India,"Calendar Year (Jan - Dec), 2021","March, 2021",Himachal Pradesh,0.089035,11.191682,0.94
India,"Calendar Year (Jan - Dec), 2021","March, 2021",Jammu & Kashmir,0.168276,12.038043,1.02
India,"Calendar Year (Jan - Dec), 2021","March, 2021",Karnataka,2.155771,68.637028,5.9
India,"Calendar Year (Jan - Dec), 2021","March, 2021",Kerala,1.206471,44.837822,3.83
India,"Calendar Year (Jan - Dec), 2021","March, 2021",Madhya Pradesh,0.719916,77.874676,6.54
India,"Calendar Year (Jan - Dec), 2021","March, 2021",Maharashtra,1.262338,94.911667,8.01
India,"Calendar Year (Jan - Dec), 2021","March, 2021",North East,0.102523,12.45125,1.05
India,"Calendar Year (Jan - Dec), 2021","March, 2021",Odisha,0.211563,34.344129,2.88
India,"Calendar Year (Jan - Dec), 2021","March, 2021",Punjab,0.706409,38.835194,3.29
India,"Calendar Year (Jan - Dec), 2021","March, 2021",Rajasthan,0.470734,66.299704,5.56
India,"Calendar Year (Jan - Dec), 2021","March, 2021",Tamil Nadu,1.887211,82.520159,7.03
India,"Calendar Year (Jan - Dec), 2021","March, 2021",Uttar Pradesh (East),0.412077,100.75819,8.42
India,"Calendar Year (Jan - Dec), 2021","March, 2021",Uttar Pradesh (West),0.342632,63.616713,5.33
India,"Calendar Year (Jan - Dec), 2021","March, 2021",West Bengal,0.259259,56.288798,4.71
India,"Calendar Year (Jan - Dec), 2021","March, 2021",Kolkata,0.674786,26.673796,2.28
India,"Calendar Year (Jan - Dec), 2021","March, 2021",Delhi,3.550469,54.554172,4.84
India,"Calendar Year (Jan - Dec), 2021","March, 2021",Mumbai,3.05672,37.649149,3.39
India,"Calendar Year (Jan - Dec), 2021","February, 2021",Andhra Pradesh,1.393852,88.064386,7.53
India,"Calendar Year (Jan - Dec), 2021","February, 2021",Assam,0.130308,24.436845,2.07
India,"Calendar Year (Jan - Dec), 2021","February, 2021",Bihar,0.229501,85.313065,7.2
India,"Calendar Year (Jan - Dec), 2021","February, 2021",Gujarat,0.961902,68.599319,5.86
India,"Calendar Year (Jan - Dec), 2021","February, 2021",Haryana,0.229811,27.564944,2.34
India,"Calendar Year (Jan - Dec), 2021","February, 2021",Himachal Pradesh,0.088436,11.126262,0.94
India,"Calendar Year (Jan - Dec), 2021","February, 2021",Jammu & Kashmir,0.164445,11.94873,1.02
India,"Calendar Year (Jan - Dec), 2021","February, 2021",Karnataka,2.168071,67.931086,5.9
India,"Calendar Year (Jan - Dec), 2021","February, 2021",Kerala,1.225197,44.996969,3.89
India,"Calendar Year (Jan - Dec), 2021","February, 2021",Madhya Pradesh,0.715197,76.608577,6.51
India,"Calendar Year (Jan - Dec), 2021","February, 2021",Maharashtra,1.297667,94.062844,8.03
India,"Calendar Year (Jan - Dec), 2021","February, 2021",North East,0.099901,12.347126,1.05
India,"Calendar Year (Jan - Dec), 2021","February, 2021",Odisha,0.20903,34.010859,2.88
India,"Calendar Year (Jan - Dec), 2021","February, 2021",Punjab,0.707285,38.498179,3.3
India,"Calendar Year (Jan - Dec), 2021","February, 2021",Rajasthan,0.46537,65.822027,5.58
India,"Calendar Year (Jan - Dec), 2021","February, 2021",Tamil Nadu,1.883827,81.122721,6.99
India,"Calendar Year (Jan - Dec), 2021","February, 2021",Uttar Pradesh (East),0.410218,99.777973,8.44
India,"Calendar Year (Jan - Dec), 2021","February, 2021",Uttar Pradesh (West),0.329699,62.985944,5.33
India,"Calendar Year (Jan - Dec), 2021","February, 2021",West Bengal,0.254513,55.73102,4.71
India,"Calendar Year (Jan - Dec), 2021","February, 2021",Kolkata,0.665441,26.338867,2.27
India,"Calendar Year (Jan - Dec), 2021","February, 2021",Delhi,3.505932,53.677755,4.81
India,"Calendar Year (Jan - Dec), 2021","February, 2021",Mumbai,3.05103,36.578791,3.34
India,"Calendar Year (Jan - Dec), 2021","January, 2021",Andhra Pradesh,1.380897,88.04177,7.58
India,"Calendar Year (Jan - Dec), 2021","January, 2021",Assam,0.127998,24.278137,2.07
India,"Calendar Year (Jan - Dec), 2021","January, 2021",Bihar,0.220706,85.427595,7.26
India,"Calendar Year (Jan - Dec), 2021","January, 2021",Gujarat,0.965591,68.037335,5.85
India,"Calendar Year (Jan - Dec), 2021","January, 2021",Haryana,0.228614,27.188964,2.32
India,"Calendar Year (Jan - Dec), 2021","January, 2021",Himachal Pradesh,0.08879,11.154105,0.95
India,"Calendar Year (Jan - Dec), 2021","January, 2021",Jammu & Kashmir,0.162057,11.93202,1.03
India,"Calendar Year (Jan - Dec), 2021","January, 2021",Karnataka,2.150628,67.446937,5.9
India,"Calendar Year (Jan - Dec), 2021","January, 2021",Kerala,1.255536,44.815439,3.91
India,"Calendar Year (Jan - Dec), 2021","January, 2021",Madhya Pradesh,0.704609,76.046519,6.51
India,"Calendar Year (Jan - Dec), 2021","January, 2021",Maharashtra,1.282589,93.369583,8.03
India,"Calendar Year (Jan - Dec), 2021","January, 2021",North East,0.099275,12.341987,1.05
India,"Calendar Year (Jan - Dec), 2021","January, 2021",Odisha,0.206614,33.854076,2.89
India,"Calendar Year (Jan - Dec), 2021","January, 2021",Punjab,0.697844,37.760901,3.26
India,"Calendar Year (Jan - Dec), 2021","January, 2021",Rajasthan,0.462851,65.625304,5.6
India,"Calendar Year (Jan - Dec), 2021","January, 2021",Tamil Nadu,1.884472,80.836629,7.01
India,"Calendar Year (Jan - Dec), 2021","January, 2021",Uttar Pradesh (East),0.400578,99.253061,8.45
India,"Calendar Year (Jan - Dec), 2021","January, 2021",Uttar Pradesh (West),0.320783,62.461273,5.32
India,"Calendar Year (Jan - Dec), 2021","January, 2021",West Bengal,0.249684,55.213211,4.7
India,"Calendar Year (Jan - Dec), 2021","January, 2021",Kolkata,0.665731,26.293939,2.29
India,"Calendar Year (Jan - Dec), 2021","January, 2021",Delhi,3.478961,53.032093,4.79
India,"Calendar Year (Jan - Dec), 2021","January, 2021",Mumbai,3.043685,34.893181,3.22
India,"Calendar Year (Jan - Dec), 2020","December, 2020",Andhra Pradesh,1.377579,87.617797,7.58
India,"Calendar Year (Jan - Dec), 2020","December, 2020",Assam,0.125867,24.046868,2.06
India,"Calendar Year (Jan - Dec), 2020","December, 2020",Bihar,0.213145,84.891522,7.25
India,"Calendar Year (Jan - Dec), 2020","December, 2020",Gujarat,0.962135,67.783716,5.86
India,"Calendar Year (Jan - Dec), 2020","December, 2020",Haryana,0.22896,27.133284,2.33
India,"Calendar Year (Jan - Dec), 2020","December, 2020",Himachal Pradesh,0.089275,11.053774,0.95
India,"Calendar Year (Jan - Dec), 2020","December, 2020",Jammu & Kashmir,0.158309,11.801795,1.02
India,"Calendar Year (Jan - Dec), 2020","December, 2020",Karnataka,2.178129,67.229552,5.91
India,"Calendar Year (Jan - Dec), 2020","December, 2020",Kerala,1.299169,44.677688,3.92
India,"Calendar Year (Jan - Dec), 2020","December, 2020",Madhya Pradesh,0.693448,75.534425,6.49
India,"Calendar Year (Jan - Dec), 2020","December, 2020",Maharashtra,1.265817,93.269372,8.05
India,"Calendar Year (Jan - Dec), 2020","December, 2020",North East,0.099742,12.214437,1.05
India,"Calendar Year (Jan - Dec), 2020","December, 2020",Odisha,0.206323,33.51464,2.87
India,"Calendar Year (Jan - Dec), 2020","December, 2020",Punjab,0.690966,37.72508,3.27
India,"Calendar Year (Jan - Dec), 2020","December, 2020",Rajasthan,0.46711,65.16406,5.59
India,"Calendar Year (Jan - Dec), 2020","December, 2020",Tamil Nadu,1.923035,80.370211,7.01
India,"Calendar Year (Jan - Dec), 2020","December, 2020",Uttar Pradesh (East),0.387007,98.594048,8.43
India,"Calendar Year (Jan - Dec), 2020","December, 2020",Uttar Pradesh (West),0.309378,62.428768,5.35
India,"Calendar Year (Jan - Dec), 2020","December, 2020",West Bengal,0.244435,54.863616,4.69
India,"Calendar Year (Jan - Dec), 2020","December, 2020",Kolkata,0.66564,26.211203,2.29
India,"Calendar Year (Jan - Dec), 2020","December, 2020",Delhi,3.446513,52.594442,4.77
India,"Calendar Year (Jan - Dec), 2020","December, 2020",Mumbai,3.02018,34.989534,3.24
India,"Calendar Year (Jan - Dec), 2020","November, 2020",Andhra Pradesh,1.380429,87.474074,7.56
India,"Calendar Year (Jan - Dec), 2020","November, 2020",Assam,0.122407,23.87199,2.04
India,"Calendar Year (Jan - Dec), 2020","November, 2020",Bihar,0.204957,84.649148,7.22
India,"Calendar Year (Jan - Dec), 2020","November, 2020",Gujarat,0.964,67.574581,5.83
India,"Calendar Year (Jan - Dec), 2020","November, 2020",Haryana,0.231304,27.489195,2.36
India,"Calendar Year (Jan - Dec), 2020","November, 2020",Himachal Pradesh,0.089961,10.975782,0.94
India,"Calendar Year (Jan - Dec), 2020","November, 2020",Jammu & Kashmir,0.153165,11.686661,1.01
India,"Calendar Year (Jan - Dec), 2020","November, 2020",Karnataka,2.174466,67.342979,5.92
India,"Calendar Year (Jan - Dec), 2020","November, 2020",Kerala,1.314199,44.496541,3.9
India,"Calendar Year (Jan - Dec), 2020","November, 2020",Madhya Pradesh,0.682903,76.745068,6.59
India,"Calendar Year (Jan - Dec), 2020","November, 2020",Maharashtra,1.3362,92.931149,8.02
India,"Calendar Year (Jan - Dec), 2020","November, 2020",North East,0.097749,12.135666,1.04
India,"Calendar Year (Jan - Dec), 2020","November, 2020",Odisha,0.203292,33.352612,2.86
India,"Calendar Year (Jan - Dec), 2020","November, 2020",Punjab,0.687059,39.029272,3.38
India,"Calendar Year (Jan - Dec), 2020","November, 2020",Rajasthan,0.466324,65.08898,5.58
India,"Calendar Year (Jan - Dec), 2020","November, 2020",Tamil Nadu,1.942951,80.398617,7.01
India,"Calendar Year (Jan - Dec), 2020","November, 2020",Uttar Pradesh (East),0.379088,98.129045,8.38
India,"Calendar Year (Jan - Dec), 2020","November, 2020",Uttar Pradesh (West),0.296302,62.364594,5.33
India,"Calendar Year (Jan - Dec), 2020","November, 2020",West Bengal,0.23822,54.782961,4.68
India,"Calendar Year (Jan - Dec), 2020","November, 2020",Kolkata,0.663823,26.170519,2.28
India,"Calendar Year (Jan - Dec), 2020","November, 2020",Delhi,3.413814,52.846597,4.79
India,"Calendar Year (Jan - Dec), 2020","November, 2020",Mumbai,3.027107,35.61839,3.29
India,"Calendar Year (Jan - Dec), 2020","October, 2020",Andhra Pradesh,1.360345,87.174384,7.56
India,"Calendar Year (Jan - Dec), 2020","October, 2020",Assam,0.119527,23.739004,2.04
India,"Calendar Year (Jan - Dec), 2020","October, 2020",Bihar,0.198877,84.380195,7.22
India,"Calendar Year (Jan - Dec), 2020","October, 2020",Gujarat,0.966413,67.323964,5.83
India,"Calendar Year (Jan - Dec), 2020","October, 2020",Haryana,0.232709,27.440345,2.36
India,"Calendar Year (Jan - Dec), 2020","October, 2020",Himachal Pradesh,0.091391,10.944269,0.94
India,"Calendar Year (Jan - Dec), 2020","October, 2020",Jammu & Kashmir,0.150809,11.701471,1.01
India,"Calendar Year (Jan - Dec), 2020","October, 2020",Karnataka,2.156539,67.289194,5.93
India,"Calendar Year (Jan - Dec), 2020","October, 2020",Kerala,1.35264,44.179584,3.89
India,"Calendar Year (Jan - Dec), 2020","October, 2020",Madhya Pradesh,0.671818,75.989249,6.54
India,"Calendar Year (Jan - Dec), 2020","October, 2020",Maharashtra,1.317812,92.433848,8.0
India,"Calendar Year (Jan - Dec), 2020","October, 2020",North East,0.095725,12.064839,1.04
India,"Calendar Year (Jan - Dec), 2020","October, 2020",Odisha,0.201316,33.317273,2.86
India,"Calendar Year (Jan - Dec), 2020","October, 2020",Punjab,0.684166,38.973023,3.38
India,"Calendar Year (Jan - Dec), 2020","October, 2020",Rajasthan,0.471223,65.109107,5.6
India,"Calendar Year (Jan - Dec), 2020","October, 2020",Tamil Nadu,1.942198,80.002506,6.99
India,"Calendar Year (Jan - Dec), 2020","October, 2020",Uttar Pradesh (East),0.369623,97.858954,8.38
India,"Calendar Year (Jan - Dec), 2020","October, 2020",Uttar Pradesh (West),0.293383,62.004792,5.32
India,"Calendar Year (Jan - Dec), 2020","October, 2020",West Bengal,0.234375,54.807019,4.7
India,"Calendar Year (Jan - Dec), 2020","October, 2020",Kolkata,0.661106,26.157542,2.29
India,"Calendar Year (Jan - Dec), 2020","October, 2020",Delhi,3.390276,52.727086,4.79
India,"Calendar Year (Jan - Dec), 2020","October, 2020",Mumbai,3.027576,36.115527,3.34
India,"Calendar Year (Jan - Dec), 2020","September, 2020",Andhra Pradesh,1.350019,86.96577,7.56
India,"Calendar Year (Jan - Dec), 2020","September, 2020",Assam,0.116685,23.639757,2.03
India,"Calendar Year (Jan - Dec), 2020","September, 2020",Bihar,0.191697,84.281959,7.23
India,"Calendar Year (Jan - Dec), 2020","September, 2020",Gujarat,0.960336,66.78729,5.8
India,"Calendar Year (Jan - Dec), 2020","September, 2020",Haryana,0.235916,27.359725,2.36
India,"Calendar Year (Jan - Dec), 2020","September, 2020",Himachal Pradesh,0.092354,10.908887,0.94
India,"Calendar Year (Jan - Dec), 2020","September, 2020",Jammu & Kashmir,0.155279,11.728911,1.02
India,"Calendar Year (Jan - Dec), 2020","September, 2020",Karnataka,2.18214,67.009538,5.92
India,"Calendar Year (Jan - Dec), 2020","September, 2020",Kerala,1.409704,44.053517,3.89
India,"Calendar Year (Jan - Dec), 2020","September, 2020",Madhya Pradesh,0.658596,75.813694,6.54
India,"Calendar Year (Jan - Dec), 2020","September, 2020",Maharashtra,1.319856,91.749346,7.96
India,"Calendar Year (Jan - Dec), 2020","September, 2020",North East,0.093411,11.99475,1.03
India,"Calendar Year (Jan - Dec), 2020","September, 2020",Odisha,0.202294,33.307143,2.87
India,"Calendar Year (Jan - Dec), 2020","September, 2020",Punjab,0.683067,38.82555,3.38
India,"Calendar Year (Jan - Dec), 2020","September, 2020",Rajasthan,0.475421,65.161988,5.62
India,"Calendar Year (Jan - Dec), 2020","September, 2020",Tamil Nadu,1.958745,79.457934,6.97
India,"Calendar Year (Jan - Dec), 2020","September, 2020",Uttar Pradesh (East),0.365778,97.774484,8.4
India,"Calendar Year (Jan - Dec), 2020","September, 2020",Uttar Pradesh (West),0.285996,61.958048,5.33
India,"Calendar Year (Jan - Dec), 2020","September, 2020",West Bengal,0.20704,54.858921,4.71
