Country,State,Year,Gender,Category,"Gross Enrolment Ratio (Ger) In Higher Education (UOM:Ratio), Scaling Factor:1"
India,Karnataka,"Financial Year (Apr - Mar), 2021",Male,Scheduled Tribe,26.4
India,Karnataka,"Financial Year (Apr - Mar), 2021",Female,Scheduled Tribe,25.0
India,Karnataka,"Financial Year (Apr - Mar), 2021",Total,Scheduled Tribe,25.8
India,Kerala,"Financial Year (Apr - Mar), 2021",Male,All Categories,34.1
India,Kerala,"Financial Year (Apr - Mar), 2021",Female,All Categories,49.0
India,Kerala,"Financial Year (Apr - Mar), 2021",Total,All Categories,41.3
India,Kerala,"Financial Year (Apr - Mar), 2021",Male,Scheduled Caste,20.4
India,Kerala,"Financial Year (Apr - Mar), 2021",Female,Scheduled Caste,36.8
India,Kerala,"Financial Year (Apr - Mar), 2021",Total,Scheduled Caste,28.3
India,Kerala,"Financial Year (Apr - Mar), 2021",Male,Scheduled Tribe,24.0
India,Kerala,"Financial Year (Apr - Mar), 2021",Female,Scheduled Tribe,33.8
India,Kerala,"Financial Year (Apr - Mar), 2021",Total,Scheduled Tribe,28.9
India,Ladakh,"Financial Year (Apr - Mar), 2021",Male,All Categories,7.5
India,Ladakh,"Financial Year (Apr - Mar), 2021",Female,All Categories,16.4
India,Ladakh,"Financial Year (Apr - Mar), 2021",Total,All Categories,11.5
India,Ladakh,"Financial Year (Apr - Mar), 2021",Male,Scheduled Caste,22.6
India,Ladakh,"Financial Year (Apr - Mar), 2021",Female,Scheduled Caste,335.4
India,Ladakh,"Financial Year (Apr - Mar), 2021",Total,Scheduled Caste,42.3
India,Ladakh,"Financial Year (Apr - Mar), 2021",Male,Scheduled Tribe,10.1
India,Ladakh,"Financial Year (Apr - Mar), 2021",Female,Scheduled Tribe,17.0
India,Ladakh,"Financial Year (Apr - Mar), 2021",Total,Scheduled Tribe,13.6
India,Lakshadweep,"Financial Year (Apr - Mar), 2021",Male,All Categories,0.3
India,Lakshadweep,"Financial Year (Apr - Mar), 2021",Female,All Categories,1.9
India,Lakshadweep,"Financial Year (Apr - Mar), 2021",Total,All Categories,1.1
India,Lakshadweep,"Financial Year (Apr - Mar), 2021",Male,Scheduled Caste,
India,Lakshadweep,"Financial Year (Apr - Mar), 2021",Female,Scheduled Caste,
India,Lakshadweep,"Financial Year (Apr - Mar), 2021",Total,Scheduled Caste,
India,Lakshadweep,"Financial Year (Apr - Mar), 2021",Male,Scheduled Tribe,0.4
India,Lakshadweep,"Financial Year (Apr - Mar), 2021",Female,Scheduled Tribe,2.0
India,Lakshadweep,"Financial Year (Apr - Mar), 2021",Total,Scheduled Tribe,1.2
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Male,All Categories,29.7
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Female,All Categories,28.0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Total,All Categories,28.9
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Male,Scheduled Caste,27.3
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Female,Scheduled Caste,26.7
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Total,Scheduled Caste,27.0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Male,Scheduled Tribe,17.8
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Female,Scheduled Tribe,17.2
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Total,Scheduled Tribe,17.5
India,Maharashtra,"Financial Year (Apr - Mar), 2021",Male,All Categories,37.1
India,Maharashtra,"Financial Year (Apr - Mar), 2021",Female,All Categories,33.3
India,Maharashtra,"Financial Year (Apr - Mar), 2021",Total,All Categories,35.3
India,Maharashtra,"Financial Year (Apr - Mar), 2021",Male,Scheduled Caste,37.6
India,Maharashtra,"Financial Year (Apr - Mar), 2021",Female,Scheduled Caste,34.9
India,Maharashtra,"Financial Year (Apr - Mar), 2021",Total,Scheduled Caste,36.3
India,Maharashtra,"Financial Year (Apr - Mar), 2021",Male,Scheduled Tribe,19.4
India,Maharashtra,"Financial Year (Apr - Mar), 2021",Female,Scheduled Tribe,15.2
India,Maharashtra,"Financial Year (Apr - Mar), 2021",Total,Scheduled Tribe,17.3
India,Manipur,"Financial Year (Apr - Mar), 2021",Male,All Categories,35.3
India,Manipur,"Financial Year (Apr - Mar), 2021",Female,All Categories,35.5
India,Manipur,"Financial Year (Apr - Mar), 2021",Total,All Categories,35.4
India,Manipur,"Financial Year (Apr - Mar), 2021",Male,Scheduled Caste,60.3
India,Manipur,"Financial Year (Apr - Mar), 2021",Female,Scheduled Caste,61.0
India,Manipur,"Financial Year (Apr - Mar), 2021",Total,Scheduled Caste,60.6
India,Manipur,"Financial Year (Apr - Mar), 2021",Male,Scheduled Tribe,22.0
India,Manipur,"Financial Year (Apr - Mar), 2021",Female,Scheduled Tribe,24.2
India,Manipur,"Financial Year (Apr - Mar), 2021",Total,Scheduled Tribe,23.0
India,Meghalaya,"Financial Year (Apr - Mar), 2021",Male,All Categories,22.7
India,Meghalaya,"Financial Year (Apr - Mar), 2021",Female,All Categories,28.1
India,Meghalaya,"Financial Year (Apr - Mar), 2021",Total,All Categories,25.4
India,Meghalaya,"Financial Year (Apr - Mar), 2021",Male,Scheduled Caste,101.9
India,Meghalaya,"Financial Year (Apr - Mar), 2021",Female,Scheduled Caste,119.4
India,Meghalaya,"Financial Year (Apr - Mar), 2021",Total,Scheduled Caste,110.0
India,Meghalaya,"Financial Year (Apr - Mar), 2021",Male,Scheduled Tribe,20.2
India,Meghalaya,"Financial Year (Apr - Mar), 2021",Female,Scheduled Tribe,26.4
India,Meghalaya,"Financial Year (Apr - Mar), 2021",Total,Scheduled Tribe,23.3
India,Mizoram,"Financial Year (Apr - Mar), 2021",Male,All Categories,31.4
India,Mizoram,"Financial Year (Apr - Mar), 2021",Female,All Categories,33.2
India,Mizoram,"Financial Year (Apr - Mar), 2021",Total,All Categories,32.3
India,Mizoram,"Financial Year (Apr - Mar), 2021",Male,Scheduled Caste,206.5
India,Mizoram,"Financial Year (Apr - Mar), 2021",Female,Scheduled Caste,304.8
India,Mizoram,"Financial Year (Apr - Mar), 2021",Total,Scheduled Caste,241.1
India,Mizoram,"Financial Year (Apr - Mar), 2021",Male,Scheduled Tribe,31.8
India,Mizoram,"Financial Year (Apr - Mar), 2021",Female,Scheduled Tribe,33.3
India,Mizoram,"Financial Year (Apr - Mar), 2021",Total,Scheduled Tribe,32.5
India,Nagaland,"Financial Year (Apr - Mar), 2021",Male,All Categories,16.5
India,Nagaland,"Financial Year (Apr - Mar), 2021",Female,All Categories,21.2
India,Nagaland,"Financial Year (Apr - Mar), 2021",Total,All Categories,18.8
India,Nagaland,"Financial Year (Apr - Mar), 2021",Male,Scheduled Caste,
India,Nagaland,"Financial Year (Apr - Mar), 2021",Female,Scheduled Caste,
India,Nagaland,"Financial Year (Apr - Mar), 2021",Total,Scheduled Caste,
India,Nagaland,"Financial Year (Apr - Mar), 2021",Male,Scheduled Tribe,17.2
India,Nagaland,"Financial Year (Apr - Mar), 2021",Female,Scheduled Tribe,21.5
India,Nagaland,"Financial Year (Apr - Mar), 2021",Total,Scheduled Tribe,19.3
India,Odisha,"Financial Year (Apr - Mar), 2021",Male,All Categories,23.5
India,Odisha,"Financial Year (Apr - Mar), 2021",Female,All Categories,20.6
India,Odisha,"Financial Year (Apr - Mar), 2021",Total,All Categories,22.1
India,Odisha,"Financial Year (Apr - Mar), 2021",Male,Scheduled Caste,25.2
India,Odisha,"Financial Year (Apr - Mar), 2021",Female,Scheduled Caste,19.9
India,Odisha,"Financial Year (Apr - Mar), 2021",Total,Scheduled Caste,22.6
India,Odisha,"Financial Year (Apr - Mar), 2021",Male,Scheduled Tribe,16.7
India,Odisha,"Financial Year (Apr - Mar), 2021",Female,Scheduled Tribe,14.3
India,Odisha,"Financial Year (Apr - Mar), 2021",Total,Scheduled Tribe,15.5
India,Puducherry,"Financial Year (Apr - Mar), 2021",Male,All Categories,61.0
India,Puducherry,"Financial Year (Apr - Mar), 2021",Female,All Categories,62.1
India,Puducherry,"Financial Year (Apr - Mar), 2021",Total,All Categories,61.5
India,Puducherry,"Financial Year (Apr - Mar), 2021",Male,Scheduled Caste,43.0
India,Puducherry,"Financial Year (Apr - Mar), 2021",Female,Scheduled Caste,43.4
India,Puducherry,"Financial Year (Apr - Mar), 2021",Total,Scheduled Caste,43.2
India,Puducherry,"Financial Year (Apr - Mar), 2021",Male,Scheduled Tribe,
India,Puducherry,"Financial Year (Apr - Mar), 2021",Female,Scheduled Tribe,
India,Puducherry,"Financial Year (Apr - Mar), 2021",Total,Scheduled Tribe,
India,Punjab,"Financial Year (Apr - Mar), 2021",Male,All Categories,25.2
India,Punjab,"Financial Year (Apr - Mar), 2021",Female,All Categories,30.1
India,Punjab,"Financial Year (Apr - Mar), 2021",Total,All Categories,27.4
India,Punjab,"Financial Year (Apr - Mar), 2021",Male,Scheduled Caste,16.2
India,Punjab,"Financial Year (Apr - Mar), 2021",Female,Scheduled Caste,22.8
India,Punjab,"Financial Year (Apr - Mar), 2021",Total,Scheduled Caste,19.2
India,Punjab,"Financial Year (Apr - Mar), 2021",Male,Scheduled Tribe,
India,Punjab,"Financial Year (Apr - Mar), 2021",Female,Scheduled Tribe,
India,Punjab,"Financial Year (Apr - Mar), 2021",Total,Scheduled Tribe,
India,Rajasthan,"Financial Year (Apr - Mar), 2021",Male,All Categories,29.0
India,Rajasthan,"Financial Year (Apr - Mar), 2021",Female,All Categories,28.1
India,Rajasthan,"Financial Year (Apr - Mar), 2021",Total,All Categories,28.6
India,Rajasthan,"Financial Year (Apr - Mar), 2021",Male,Scheduled Caste,27.2
India,Rajasthan,"Financial Year (Apr - Mar), 2021",Female,Scheduled Caste,26.1
India,Rajasthan,"Financial Year (Apr - Mar), 2021",Total,Scheduled Caste,26.7
India,Rajasthan,"Financial Year (Apr - Mar), 2021",Male,Scheduled Tribe,28.9
India,Rajasthan,"Financial Year (Apr - Mar), 2021",Female,Scheduled Tribe,27.6
India,Rajasthan,"Financial Year (Apr - Mar), 2021",Total,Scheduled Tribe,28.2
India,Sikkim,"Financial Year (Apr - Mar), 2021",Male,All Categories,35.1
India,Sikkim,"Financial Year (Apr - Mar), 2021",Female,All Categories,42.5
India,Sikkim,"Financial Year (Apr - Mar), 2021",Total,All Categories,38.6
India,Sikkim,"Financial Year (Apr - Mar), 2021",Male,Scheduled Caste,46.6
India,Sikkim,"Financial Year (Apr - Mar), 2021",Female,Scheduled Caste,39.1
India,Sikkim,"Financial Year (Apr - Mar), 2021",Total,Scheduled Caste,42.8
India,Sikkim,"Financial Year (Apr - Mar), 2021",Male,Scheduled Tribe,29.6
India,Sikkim,"Financial Year (Apr - Mar), 2021",Female,Scheduled Tribe,42.1
India,Sikkim,"Financial Year (Apr - Mar), 2021",Total,Scheduled Tribe,35.8
India,Tamil Nadu,"Financial Year (Apr - Mar), 2021",Male,All Categories,46.8
India,Tamil Nadu,"Financial Year (Apr - Mar), 2021",Female,All Categories,47.3
India,Tamil Nadu,"Financial Year (Apr - Mar), 2021",Total,All Categories,47.0
India,Tamil Nadu,"Financial Year (Apr - Mar), 2021",Male,Scheduled Caste,38.4
India,Tamil Nadu,"Financial Year (Apr - Mar), 2021",Female,Scheduled Caste,40.4
India,Tamil Nadu,"Financial Year (Apr - Mar), 2021",Total,Scheduled Caste,39.4
India,Tamil Nadu,"Financial Year (Apr - Mar), 2021",Male,Scheduled Tribe,50.2
India,Tamil Nadu,"Financial Year (Apr - Mar), 2021",Female,Scheduled Tribe,37.6
India,Tamil Nadu,"Financial Year (Apr - Mar), 2021",Total,Scheduled Tribe,43.9
India,Telangana,"Financial Year (Apr - Mar), 2021",Male,All Categories,38.5
India,Telangana,"Financial Year (Apr - Mar), 2021",Female,All Categories,41.6
India,Telangana,"Financial Year (Apr - Mar), 2021",Total,All Categories,40.0
India,Telangana,"Financial Year (Apr - Mar), 2021",Male,Scheduled Caste,35.6
India,Telangana,"Financial Year (Apr - Mar), 2021",Female,Scheduled Caste,42.9
India,Telangana,"Financial Year (Apr - Mar), 2021",Total,Scheduled Caste,39.2
India,Telangana,"Financial Year (Apr - Mar), 2021",Male,Scheduled Tribe,39.1
India,Telangana,"Financial Year (Apr - Mar), 2021",Female,Scheduled Tribe,36.9
India,Telangana,"Financial Year (Apr - Mar), 2021",Total,Scheduled Tribe,38.0
India,The Dadra And Nagar Haveli And Daman And Diu,"Financial Year (Apr - Mar), 2021",Male,All Categories,8.6
India,The Dadra And Nagar Haveli And Daman And Diu,"Financial Year (Apr - Mar), 2021",Female,All Categories,16.6
India,The Dadra And Nagar Haveli And Daman And Diu,"Financial Year (Apr - Mar), 2021",Total,All Categories,11.2
India,The Dadra And Nagar Haveli And Daman And Diu,"Financial Year (Apr - Mar), 2021",Male,Scheduled Caste,24.8
India,The Dadra And Nagar Haveli And Daman And Diu,"Financial Year (Apr - Mar), 2021",Female,Scheduled Caste,31.7
India,The Dadra And Nagar Haveli And Daman And Diu,"Financial Year (Apr - Mar), 2021",Total,Scheduled Caste,27.8
India,The Dadra And Nagar Haveli And Daman And Diu,"Financial Year (Apr - Mar), 2021",Male,Scheduled Tribe,6.9
India,The Dadra And Nagar Haveli And Daman And Diu,"Financial Year (Apr - Mar), 2021",Female,Scheduled Tribe,8.1
India,The Dadra And Nagar Haveli And Daman And Diu,"Financial Year (Apr - Mar), 2021",Total,Scheduled Tribe,7.5
India,Tripura,"Financial Year (Apr - Mar), 2021",Male,All Categories,21.9
India,Tripura,"Financial Year (Apr - Mar), 2021",Female,All Categories,19.5
India,Tripura,"Financial Year (Apr - Mar), 2021",Total,All Categories,20.7
India,Tripura,"Financial Year (Apr - Mar), 2021",Male,Scheduled Caste,21.2
India,Tripura,"Financial Year (Apr - Mar), 2021",Female,Scheduled Caste,18.8
India,Tripura,"Financial Year (Apr - Mar), 2021",Total,Scheduled Caste,20.0
India,Tripura,"Financial Year (Apr - Mar), 2021",Male,Scheduled Tribe,17.3
India,Tripura,"Financial Year (Apr - Mar), 2021",Female,Scheduled Tribe,14.6
India,Tripura,"Financial Year (Apr - Mar), 2021",Total,Scheduled Tribe,15.9
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",Male,All Categories,23.9
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",Female,All Categories,24.4
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",Total,All Categories,24.1
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",Male,Scheduled Caste,21.0
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",Female,Scheduled Caste,22.6
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",Total,Scheduled Caste,21.8
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",Male,Scheduled Tribe,41.4
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",Female,Scheduled Tribe,37.4
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",Total,Scheduled Tribe,39.4
India,Uttarakhand,"Financial Year (Apr - Mar), 2021",Male,All Categories,40.1
India,Uttarakhand,"Financial Year (Apr - Mar), 2021",Female,All Categories,43.7
India,Uttarakhand,"Financial Year (Apr - Mar), 2021",Total,All Categories,41.8
India,Uttarakhand,"Financial Year (Apr - Mar), 2021",Male,Scheduled Caste,29.1
India,Uttarakhand,"Financial Year (Apr - Mar), 2021",Female,Scheduled Caste,35.6
India,Uttarakhand,"Financial Year (Apr - Mar), 2021",Total,Scheduled Caste,32.2
India,Uttarakhand,"Financial Year (Apr - Mar), 2021",Male,Scheduled Tribe,42.1
India,Uttarakhand,"Financial Year (Apr - Mar), 2021",Female,Scheduled Tribe,42.0
India,Uttarakhand,"Financial Year (Apr - Mar), 2021",Total,Scheduled Tribe,42.1
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2020",Male,All Categories,21.6
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2020",Female,All Categories,27.1
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2020",Total,All Categories,24.3
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2020",Male,Scheduled Caste,
