Country,Year,Month,Service Area,"Tele-Density Service Area-Wise (UOM:Number), Scaling Factor:1000000"
India,"Financial Year (Apr - Mar), 2022","March, 2023",Assam,70.72
India,"Financial Year (Apr - Mar), 2022","March, 2023",Bihar,55.23
India,"Financial Year (Apr - Mar), 2022","March, 2023",Gujarat,92.58
India,"Financial Year (Apr - Mar), 2022","March, 2023",Haryana,89.61
India,"Financial Year (Apr - Mar), 2022","March, 2023",Himachal Pradesh,119.69
India,"Financial Year (Apr - Mar), 2022","March, 2023",Jammu & Kashmir,88.94
India,"Financial Year (Apr - Mar), 2022","March, 2023",Karnataka,101.91
India,"Financial Year (Apr - Mar), 2022","March, 2023",Kerala,122.13
India,"Financial Year (Apr - Mar), 2022","March, 2023",Madhya Pradesh,66.73
India,"Financial Year (Apr - Mar), 2022","March, 2023",Maharashtra,92.8
India,"Financial Year (Apr - Mar), 2022","March, 2023",North East,79.71
India,"Financial Year (Apr - Mar), 2022","March, 2023",Odisha,75.74
India,"Financial Year (Apr - Mar), 2022","March, 2023",Punjab,115.32
India,"Financial Year (Apr - Mar), 2022","March, 2023",Rajasthan,79.45
India,"Financial Year (Apr - Mar), 2022","March, 2023",Tamil Nadu,103.46
India,"Financial Year (Apr - Mar), 2022","March, 2023",Uttar Pradesh,66.12
India,"Financial Year (Apr - Mar), 2022","March, 2023",West Bengal,69.35
India,"Financial Year (Apr - Mar), 2022","March, 2023",Kolkata,140.09
India,"Financial Year (Apr - Mar), 2022","March, 2023",Delhi,273.53
India,"Financial Year (Apr - Mar), 2022","March, 2023",Mumbai,135.17
India,"Financial Year (Apr - Mar), 2022","February, 2023",Andhra Pradesh,93.15
India,"Financial Year (Apr - Mar), 2022","February, 2023",Assam,70.71
India,"Financial Year (Apr - Mar), 2022","February, 2023",Bihar,54.86
India,"Financial Year (Apr - Mar), 2022","February, 2023",Gujarat,92.23
India,"Financial Year (Apr - Mar), 2022","February, 2023",Haryana,89.41
India,"Financial Year (Apr - Mar), 2022","February, 2023",Himachal Pradesh,119.31
India,"Financial Year (Apr - Mar), 2022","February, 2023",Jammu & Kashmir,88.58
India,"Financial Year (Apr - Mar), 2022","February, 2023",Karnataka,102.15
India,"Financial Year (Apr - Mar), 2022","February, 2023",Kerala,122.47
India,"Financial Year (Apr - Mar), 2022","February, 2023",Madhya Pradesh,66.54
India,"Financial Year (Apr - Mar), 2022","February, 2023",Maharashtra,92.5
India,"Financial Year (Apr - Mar), 2022","February, 2023",North East,78.98
India,"Financial Year (Apr - Mar), 2022","February, 2023",Odisha,75.49
India,"Financial Year (Apr - Mar), 2022","February, 2023",Punjab,115.28
India,"Financial Year (Apr - Mar), 2022","February, 2023",Rajasthan,79.27
India,"Financial Year (Apr - Mar), 2022","February, 2023",Tamil Nadu,103.38
India,"Financial Year (Apr - Mar), 2022","February, 2023",Uttar Pradesh,66.01
India,"Financial Year (Apr - Mar), 2022","February, 2023",West Bengal,69.29
India,"Financial Year (Apr - Mar), 2022","February, 2023",Kolkata,140.57
India,"Financial Year (Apr - Mar), 2022","February, 2023",Delhi,273.47
India,"Financial Year (Apr - Mar), 2022","February, 2023",Mumbai,136.3
India,"Financial Year (Apr - Mar), 2022","January, 2023",Andhra Pradesh,93.25
India,"Financial Year (Apr - Mar), 2022","January, 2023",Assam,70.31
India,"Financial Year (Apr - Mar), 2022","January, 2023",Bihar,55.07
India,"Financial Year (Apr - Mar), 2022","January, 2023",Gujarat,92.4
India,"Financial Year (Apr - Mar), 2022","January, 2023",Haryana,89.69
India,"Financial Year (Apr - Mar), 2022","January, 2023",Himachal Pradesh,120.0
India,"Financial Year (Apr - Mar), 2022","January, 2023",Jammu & Kashmir,89.12
India,"Financial Year (Apr - Mar), 2022","January, 2023",Karnataka,102.39
India,"Financial Year (Apr - Mar), 2022","January, 2023",Kerala,122.59
India,"Financial Year (Apr - Mar), 2022","January, 2023",Madhya Pradesh,66.6
India,"Financial Year (Apr - Mar), 2022","January, 2023",Maharashtra,92.76
India,"Financial Year (Apr - Mar), 2022","January, 2023",North East,78.88
India,"Financial Year (Apr - Mar), 2022","January, 2023",Odisha,76.09
India,"Financial Year (Apr - Mar), 2022","January, 2023",Punjab,115.41
India,"Financial Year (Apr - Mar), 2022","January, 2023",Rajasthan,79.1
India,"Financial Year (Apr - Mar), 2022","January, 2023",Tamil Nadu,103.31
India,"Financial Year (Apr - Mar), 2022","January, 2023",Uttar Pradesh,66.24
India,"Financial Year (Apr - Mar), 2022","January, 2023",West Bengal,69.32
India,"Financial Year (Apr - Mar), 2022","January, 2023",Kolkata,140.71
India,"Financial Year (Apr - Mar), 2022","January, 2023",Delhi,272.81
India,"Financial Year (Apr - Mar), 2022","January, 2023",Mumbai,136.13
India,"Financial Year (Apr - Mar), 2022","December, 2022",Andhra Pradesh,92.88
India,"Financial Year (Apr - Mar), 2022","December, 2022",Assam,70.04
India,"Financial Year (Apr - Mar), 2022","December, 2022",Bihar,55.18
