state,year,hhi
Bihar,2015,1980.744650368056
Bihar,2016,2105.412933260354
Bihar,2017,1989.9842986034191
Bihar,2018,2490.918019964939
Bihar,2019,3201.4868871608187
Bihar,2020,3293.209097528526
Bihar,2021,3381.767927965087
Chandigarh,2008,1804.2725018199799
Chandigarh,2009,1751.8377219260958
Chandigarh,2010,1623.2593000504348
Chandigarh,2011,1532.8092020253303
Chandigarh,2012,1542.3845606583143
Chandigarh,2013,1628.714927831117
Chandigarh,2014,1594.8219770168714
Chandigarh,2015,1634.5918203099234
Chandigarh,2016,1585.6025956998974
Chandigarh,2017,1644.8982436489975
Chandigarh,2018,1862.4950265342263
Chandigarh,2019,2630.7313501524404
Chandigarh,2020,2714.8786926397474
Chandigarh,2021,2690.895132641812
Chhattisgarh,2008,2278.5945189814975
Chhattisgarh,2009,2137.4121043319997
Chhattisgarh,2010,1935.528875358069
Chhattisgarh,2011,1858.4076352310017
Chhattisgarh,2012,1904.2500718751771
Chhattisgarh,2013,2044.506843078054
Chhattisgarh,2014,2039.3918893483403
Chhattisgarh,2015,2015.1700742540577
Chhattisgarh,2016,2105.3712069028043
Chhattisgarh,2017,2040.123175479726
Chhattisgarh,2018,1949.721899120967
Chhattisgarh,2019,2982.7631768103324
Chhattisgarh,2020,3133.9592008240415
Chhattisgarh,2021,3190.9515620822986
Delhi,2008,1803.7566299927569
Delhi,2009,1766.9737408674744
Delhi,2010,1658.164649346343
Delhi,2011,1588.784874330343
Delhi,2012,1622.928049202259
Delhi,2013,1680.7431962038024
Delhi,2014,1690.4128318714993
Delhi,2015,1681.1370333514426
Delhi,2016,1654.6809245820707
Delhi,2017,1564.9042979305766
Delhi,2018,1955.8768254902996
Delhi,2019,3101.659264360995
Delhi,2020,3097.24705750677
Delhi,2021,3115.3708949879056
Gujarat,2008,2124.8064303903025
Gujarat,2009,2098.97355319597
Gujarat,2010,1990.1631325389296
Gujarat,2011,1765.6202337100162
Gujarat,2012,1732.4530777962616
Gujarat,2013,1811.3346562214072
Gujarat,2014,1817.650352824545
Gujarat,2015,1882.1721743024216
Gujarat,2016,1846.4666640973198
Gujarat,2017,1697.8060794526991
Gujarat,2018,1658.8476281238065
Gujarat,2019,3218.5458711433735
Gujarat,2020,3155.7451988352736
Gujarat,2021,3119.2009258239905
Haryana,2008,1724.1998229895476
Haryana,2009,1720.2293931022782
Haryana,2010,1605.4423774784232
Haryana,2011,1509.0265420008552
Haryana,2012,1492.8389466517342
Haryana,2013,1632.3578564466773
Haryana,2014,1619.3653494715481
Haryana,2015,1618.003595128736
Haryana,2016,1699.791771036807
Haryana,2017,1683.2418025958777
Haryana,2018,1606.3024195157461
Haryana,2019,2757.194924295007
Haryana,2020,2720.0095989770034
Haryana,2021,2654.8544407109353
Himachal Pradesh,2008,2613.33563802826
Himachal Pradesh,2009,2444.6716567410153
Himachal Pradesh,2010,1899.3549800700712
Himachal Pradesh,2011,1748.434731657847
Himachal Pradesh,2012,1865.4162016214875
Himachal Pradesh,2013,2026.8630901029874
Himachal Pradesh,2014,2021.734395645208
Himachal Pradesh,2015,2033.3264274125847
Himachal Pradesh,2016,1977.1448475960249
Himachal Pradesh,2017,1821.4264132050032
Himachal Pradesh,2018,2555.233560875338
Himachal Pradesh,2019,2754.3780626285898
Himachal Pradesh,2020,2941.2980606154474
Himachal Pradesh,2021,3026.6176435486414
Jammu And Kashmir,2008,3743.6762388638776
Jammu And Kashmir,2009,3015.4202953901254
Jammu And Kashmir,2010,2705.4466438836407
Jammu And Kashmir,2011,2348.059440634748
Jammu And Kashmir,2012,2266.2744230190033
Jammu And Kashmir,2013,2375.0408575221804
Jammu And Kashmir,2014,2292.2253788687344
Jammu And Kashmir,2015,2263.2250037756985
Jammu And Kashmir,2016,2208.708095675122
